N;Average duration (seconds)
100;0.0021567
200;0.00486805
300;0.0136966
400;0.0183857
500;0.0277569
600;0.0460809
700;0.0541295
800;0.0618264
900;0.0937576
1000;0.0945724
1100;0.111319
1200;0.130556
1300;0.155429
1400;0.225596
1500;0.313568
1600;0.269592
1700;0.441452
1800;0.33624
1900;0.487454
2000;0.368109
2100;0.55437
2200;0.440244
2300;0.550114
2400;0.626517
2500;0.582318
2600;0.679835
2700;0.843874
2800;0.726819
2900;1.02964
3000;0.999222
3100;0.956683
3200;1.02492
3300;1.14181
3400;1.08454
3500;1.19193
3600;1.3679
3700;1.36309
3800;1.57162
3900;1.62021
4000;1.5483
4100;1.64253
4200;1.80762
4300;1.85926
4400;2.00629
4500;2.05436
4600;2.20907
4700;2.25404
4800;2.35532
4900;2.54715
5000;2.51882
5100;2.77596
5200;2.78102
5300;2.95059
5400;3.01498
5500;3.26081
5600;3.23325
5700;3.39553
5800;3.61266
5900;3.67481
6000;3.8051
6100;4.27925
6200;4.17661
6300;4.25355
6400;4.43509
6500;5.13163
6600;4.94076
6700;5.04757
6800;5.10518
6900;5.36194
7000;5.49312
7100;5.88617
7200;5.88326
7300;6.01449
7400;6.52859
7500;6.52327
7600;6.85277
7700;7.11671
7800;7.36317
7900;8.17341
8000;7.93843
8100;7.92297
8200;8.32668
8300;8.44505
8400;9.008
8500;9.3201
8600;9.9471
8700;9.41198
8800;9.88208
8900;10.0452
9000;10.3107
9100;10.6196
9200;11.192
9300;11.0464
9400;11.6176
9500;11.5881
9600;12.2544
9700;12.205
9800;12.6981
9900;12.9805
10000;13.4299
10100;13.5541
10200;14.0382
10300;14.5737
10400;14.7929
10500;15.2053
10600;15.6369
10700;16.2442
10800;16.5879
10900;16.4294
11000;17.2056
11100;17.9396
11200;18.2803
11300;18.4717
11400;19.5351
11500;19.9366
11600;20.075
11700;20.6752
11800;21.2967
11900;21.7233
12000;22.2469
12100;22.8813
12200;23.2029
12300;23.6382
12400;24.9913
12500;25.4465
12600;25.756
12700;26.3546
12800;27.223
12900;27.8766
13000;31.2373
13100;28.1954
13200;30.7813
13300;31.5316
13400;32.3059
13500;32.0988
13600;32.9373
13700;33.0447
13800;34.2728
13900;34.3994
14000;36.8151
14100;37.6431
14200;37.9669
14300;39.3878
14400;41.735
14500;40.1266
14600;39.3473
14700;40.1441
14800;41.3431
14900;42.4542
15000;42.6058
15100;44.4109
15200;45.75
15300;47.4551
15400;48.401
15500;52.1667
15600;52.4182
15700;52.8579
15800;53.0612
15900;54.5777
16000;54.9632
16100;56.8818
16200;55.7076
16300;61.001
16400;61.9449
16500;63.8308
16600;66.0554
16700;66.1926
16800;65.7937
16900;64.1275
17000;71.5255
17100;72.1721
17200;69.2812
17300;70.6334
17400;71.4821
17500;72.1726
17600;74.2612
17700;76.227
17800;76.6636
17900;77.9778
18000;79.441
18100;79.8316
18200;81.1877
18300;83.6588
18400;85.6316
18500;87.2339
18600;87.8123
18700;88.7372
18800;92.5638
18900;91.7052
19000;94.3472
19100;95.3011
19200;96.4369
19300;105.281
19400;105.604
19500;106.108
19600;109.194
19700;104.669
19800;107.215
19900;110.5
20000;115.575
